,iteration,alive_cells,silent_cells,dead_cells,number_of_artery_giving_oxygen,volume,prolif_cells,t,curement
181,18100,63344,506111,2.077126415906282,29873,5.29757,16.07994225940572,75.41666666666667,0.29515982644883476
182,18200,65035,514072,2.0106850705385177,29873,5.3085,16.35249322575872,75.83333333333333,0.2865047244424829
183,18300,66668,521656,1.9435425712517187,29865,5.3085,16.612760761696933,76.25,0.27810345470772063
184,18400,68350,528449,1.876652487375772,29865,5.3085,16.85207587150233,76.66666666666667,0.26994850928898667
185,18500,70053,534933,1.8093417111484043,29861,5.3085,17.08325850324,77.08333333333333,0.2620327094648515
186,18600,71835,540603,1.7421431195480823,29861,5.3085,17.29368637324234,77.5,0.25434902924237845
187,18700,73513,545655,1.6764029280993533,29861,5.32605,17.483726572533236,77.91666666666667,0.24689064422462673
188,18800,75109,550202,1.606203397725561,29858,5.32605,17.657191200206928,78.33333333333333,0.23965099098540238
189,18900,76705,554076,1.5326383285404004,29858,5.32605,17.81165180795153,78.75,0.23262359872714392
190,19000,78249,557790,1.4470134119478364,29856,5.32605,17.960126008229615,79.16666666666667,0.22580229739735916
191,19100,79843,560925,1.359060664344076,29856,5.32605,18.093662427612475,79.58333333333333,0.21918100726022646
192,19200,81320,563901,1.2691727319237787,29852,5.32605,18.21940522218043,80.0,0.21275387499541423
193,19300,83007,566627,1.1757509837515447,29852,5.337,18.344018505905648,80.41666666666667,0.20651522209540046
194,19400,84634,569245,1.0778138043407248,29852,5.31942,18.46388784409136,80.83333333333333,0.20045948505803146
195,19500,86188,571976,0.9770720092537646,29848,5.31942,18.58488669311981,81.25,0.19458134696524776
196,19600,87798,574864,0.8772557373399306,29848,5.31942,18.71190018738585,81.66666666666667,0.1888755553535381
197,19700,89379,577628,0.7753920959825142,29833,5.31942,18.83459330267841,82.08333333333333,0.1833370875351211
198,19800,91073,580265,0.6752392701875433,29833,5.31942,18.95689108917601,82.5,0.17796102742163955
199,19900,92616,583340,0.5721135517758638,29833,5.31942,19.087293115970265,82.91666666666667,0.172742599959193
200,20000,94273,586132,0.4718204951970859,29826,5.31942,19.212922959453948,83.33333333333333,0.16767721266781327
